sample,dataset,carbon,hydrogen,oxygen,nitrogen,sulfur,HHV
Red Wood Char (800-17250F ),Training,78.8,3.5,13.2,0.2,0.2,30.472
Redwood char (7900F-10200F) ,Training,75.6,3.3,18.4,0.2,0.2,28.844
Redwood Sequoia,Training,53.5,5.9,40.15,0.1,0.03,21.036
Redwood Sequoia Charcoal (7900F-10200F)  ,Training,75.6,3.3,20.7,0.2,0.2,28.855
Redwood Sequoia Charcoal (8600F-17250F ) ,Testing,78.8,3.5,17.3,0.2,0.2,30.484
Redwood Wood,Training,53.5,5.9,40.3,0.1,0,21.03
Redwood Wood Chips,Training,52.3,5.9,40.3,0.2,0,20.509
Reed Canary Grass,Training,45,5.7,38.85,1.4,0.14,18.37
Rice Hulls,Training,38.83,4.75,35.47,0.52,0.05,15.84
Rice Hulls,Training,38.3,4.36,35.45,0.83,0.06,14.89
Rice Husk,Training,38.2,5.6,33.7,0,0,16.47
Rice Husk,Training,38.5,5.2,34.61,0.45,0,14.693
Rice Husk Bran,Training,38.92,5.12,36.77,0.55,0,15.29
Rice Husk Char (7500C),Training,31.51,2.5,19.34,1.45,0,10.935
Rice Husk Waste,Training,26.69,2.88,70.05,0.21,0.17,15.899
Rice Husks Patni-23,Training,38.92,5.1,37.89,2.17,0.12,15.673
Rice Straw,Training,38.24,5.2,36.26,0.87,0.18,15.09
Rice Straw,Training,35.68,4.62,39.14,0.28,0,14.85
Rice Straw,Testing,41.78,4.63,36.57,0.7,0.08,16.28
Rice Straw,Training,40.1,4.9,35.5,0.8,0.1,15.417
"Rice Straw, Leached",Training,38,4.7,34.6,0.6,0.12,14.9
"Rice Straw, Soaked",Training,40.1,5.2,37,0.48,0.06,15.85
"Rice Straw, Sprayed",Training,39.5,5.11,36.9,0.47,0.07,15.5
Rye Straw,Training,47.3,5.6,42.8,0.4,0.1,18.804
Rye Straw Waste,Training,40.18,6.85,51.48,1.16,0.32,17.113
Rye (Whole Crop),Training,45.3,5.2,44.7,0.8,0.1,18.51
Rye,Testing,41.11,6.76,50.72,1.2,0.21,16.141
Ryegrass Straw,Training,46.7,5.8,41.9,1,0.2,18.548
Sainfoin Crop,Testing,41.68,5.9,50.05,1.8,0.57,16.412
Sal Seed Husk,Training,48.12,6.55,35.93,0,0,20.6
Saw Dust,Training,47.13,5.86,40.35,0.65,0.16,19.97
Sawdust,Training,45.34,6.02,47.05,0.53,1.07,18.016
Sawdust,Training,47.4,6.28,36.39,0.33,0.28,17.93
Seed Husk Waste,Testing,45.33,5.91,48.14,0.38,0.24,17.998
Sewage Sludge Waste,Training,28.3,4.07,17.5,2.96,1.25,12.1
Sewage Sludge (Organic Waste),Training,25,4.6,18.9,3.4,1,10.69
"Sewage Sludge, Dried ",Training,30.9,4.6,26.5,4.5,1.1,11.97
"Sewage Sludge, Dried (Thermal)",Training,27.8,5,15.1,5,1.56,13.585
"Sewage Sludge, Granulates",Testing,33.4,4.65,19.6,4.52,1.67,14.8
"Sewage Sludge, Aerobic Digestion",Training,33.6,5.1,36.7,5.4,1,13.713
"Sewage Sludge, Anaerobic Digestion",Training,29.2,4.7,35.8,2.9,1,12.496
Shea Meal,Training,48.56,5.86,37.7,2.88,0,19.8
Slash Pine Bark,Training,56.2,5.4,37.3,0,0,21.77
Smartlog,Testing,46.63,6.49,35.84,0.09,0.36,17.61
Softwood,Training,52.1,6.1,41,0.2,0,20
Soquel Point Grant Brown Kelp,Training,27.8,3.73,23.69,1.63,1.05,10.747
Soya,Training,44.42,6.33,47.86,1.16,0.24,16.711
Spire-Mint,Training,37.23,5.34,33.38,5.95,0,15.53
Spruce,Testing,46.68,6.85,38.71,0.05,0.23,18
Spruce Bark,Training,50.2,5.7,41.3,0.2,0.1,20.062
Spruce Bark Compost,Training,49.8,5.2,38.6,0,0,19.831
Spruce Bark,Training,51.8,5.7,38.6,0,0.1,20.33
Spruce Mould Shavings,Training,51.1,5.5,42.3,0.1,0,20.066
Spruce Saw Shaving,Testing,50.3,6,43.4,0.1,0,20.054
Spruce Wood Chips,Training,50.7,5.7,43.2,0.1,0.1,20.012
Spruce Wood Chips/Bark,Training,49.7,5.7,42.8,0.1,0.1,19.992
Spruce Wood,Training,51.9,6.1,40.9,0.3,0,20.1
Spruce (Whole Crop),Training,53.1,5.2,38.6,0.5,0,20.756
Straw Pellets,Testing,47.89,5.51,45.87,0.56,0.17,16.584
Straw Pellets Char 3500C,Training,46,2.8,12.5,1.2,0.4,18
Subabul Wood,Training,48.15,5.87,44.75,0.03,0,19.777
Subabul Wood Char (9500C),Training,83.61,1.95,10.48,0.014,0,30.353
Sudan Grass,Training,44.58,5.35,39.18,1.21,0.01,17.39
Sugar Beet,Training,44.5,5.9,42.8,1.84,0.13,17.7
Sugarcane Bagasse,Training,45.48,5.96,45.21,0.15,0,18.73
Sugarcane Bagasse,Training,43.79,5.96,43.36,1.69,0,17.7
Sugarcane Bagasse,Training,46.3,5.7,42.7,0.4,0.2,19.156
Sugarcane Bagasse,Testing,48.64,5.87,42.82,0.16,0.04,18.99
Sugarcane Fiber,Training,44.5,5.18,33.8,0.51,0.16,16.8
Sugarcane Leaves,Training,39.75,5.55,46.82,0.17,0,17.41
Sugarcane Straw,Training,43.5,6.1,41.1,0,0,17.19
Sugarcane Trash,Training,42.9,5.5,38.2,0.6,0.1,17.986
Sugarcane,Training,44.8,5.35,49.46,0.38,0.01,17.35
Sugarmillet (Whole Crop),Training,46.1,5.3,40.2,1,0.1,18.006
Summer Barley Straw,Training,46.9,5.3,40.1,0.7,0.1,18.568
Summer Rape Straw,Training,44.66,5.13,48.51,1.4,0.3,17.61
Summer Rape (Whole Crop),Training,44.7,5.1,37.8,1.4,0.3,17.61
Summer Switch Grass,Training,47.5,5.8,43.6,0.36,0.05,18.559
Sunflower Pellets,Training,46.9,6.71,33.3,5.98,0.29,17.263
Sunflower Residue,Training,57.56,6.48,34.18,1.65,0.13,24.15
Sunflower Seed Husk,Training,48.9,6.03,39.7,0.86,0.19,19.984
Sunflower Seed Shells,Training,52.9,6.6,36,1.4,0.2,20.8
Sunflower Shell,Training,47.4,5.8,41.4,1.4,0.05,18
Sunflower Spelt,Training,52.3,6.5,30.9,1.4,0.1,24.15
Sunflower Stems,Training,44.1,5,39.4,0.7,0.1,16.68
Sunflower Straw,Training,44.62,5.1,37.15,1.1,0.11,17.408
Sunflowers (Whole Crop) ,Testing,43.7,5.2,34.9,1.5,0.2,18.135
Sweet Sorghum,Training,45.81,5.26,41.02,0.97,0.06,17.99
Switchgrass,Training,45.03,6.09,35.76,0.97,0.32,16.85
Switch-Grass,Training,46.68,5.82,37.38,0.77,0.19,18.06
Switchgrass,Training,47.4,5.8,38.9,0.8,0.1,18.256
Tan Oak,Training,47.81,5.93,46.13,0.12,0.01,18.951
Tan Oak,Testing,48.67,6.03,44.99,0.06,0.04,18.934
Tan Oak Wood,Training,48.34,6.12,44.99,0.03,0.03,19.12
Tea Bush ,Training,47.67,6.13,43.16,1.33,0,19.842
Thistle Crop,Training,43.89,6.46,48.89,0.48,0.28,17.747
Tomato Plant Waste ,Testing,36.63,0.68,60.01,1.19,1.48,14.154
Topinambur (Whole Crop),Training,45,5.1,41.4,0.8,0,17.9495
Triticale Crop,Training,42.14,5.8,50.07,1.23,0.76,16.645
Untreated Rice,Training,38,4.8,37.3,0.52,0.09,15.25
Urban/(1) Ag Wood,Training,51.44,5.67,38.12,0.41,0.03,20.5
Urban/(2) Ag Wood,Testing,49.69,5.87,41.52,0.33,0.04,19.49
Urban/Wood,Training,48.77,5.76,39.53,0.27,0.07,19.45
Vegetable Food Waste,Training,49.06,6.62,37.55,1.68,0.2,19.23
Vegetal Coal,Testing,79.34,2.74,16.97,0.65,0.3,29.712
Vine Shoot Chips,Training,40.15,5.02,53.91,0.61,0.31,14.631
Vine Shoot Waste,Training,34.6,5.61,58.91,0.63,0.24,13.292
Vineorujillo Waste,Training,44.15,5.31,48.04,1.91,0.58,17.742
Walnut,Training,48.2,6.25,43.24,1.61,0,19.967
Walnut Hull,Training,49,5.7,34.7,1.7,0.1,20.038
Walnut Shell Waste,Training,46.97,6.27,46.44,0.22,0.1,18.378
Walnut Shells,Training,49.98,5.71,43.35,0.21,0.01,20.18
Walnut Shells,Testing,36.5,4.4,28.3,1.4,0.1,18.151
Walnut Wood Chips,Training,49.1,5.9,35.5,1.1,0.1,19.632
Waste From Brewing Industries,Training,51.1,6.87,36.93,4.66,0.44,22.2
Waste From Malt-Industries,Training,45.1,6.24,43.61,4.69,0.36,19
Waste Paper,Training,47.94,6.79,44.79,0.38,0.1,21.368
Waste Water Sludge,Training,37.13,4.28,16.76,6.25,1.5,15.601
"Waste Wood, Fir Treated",Testing,50.19,6.24,41.67,1.89,0.01,19.279
"Waste Wood, Pressure Treated Waste Wood",Training,53.07,6.15,38.1,0.24,0.03,20.621
"Waste Wood, Railroad Ties",Training,54.06,6.05,39.35,0.43,0.11,20.483
"Waste Wood, Salt Impregnanted Wood",Training,51,6.24,42.49,0.26,0.01,18.4
"Waste Wood, Telephone Poles",Training,55.65,6.02,37.33,0.44,0.56,21.922
"Waste Wood, Wood Residues Containing Adhesives",Training,49.2,6.12,42.45,2.21,0.02,18
"Waste, Domestic Organic Waste From The Municipal Collection",Training,48.1,5.91,45.26,0.69,0.04,17.3
Water Hyacinth,Training,36.4,4.77,32.6,1.82,0.41,14.812
Water Hyacinth,Training,43,5.8,29.5,5.6,0,17.98
Water Hyacinth (Florida),Training,40.3,4.6,33.99,1.51,0,14.86
Western Hemlock Wood,Training,50.4,5.8,41.4,0.1,0.1,20.051
Wet Grains,Training,52.53,6.6,32.28,5.35,0.66,21.95
Wheat Bran,Training,42.74,6.62,47.98,2.34,0.31,17.37
Wheat Dust,Training,41.38,5.1,35.17,3.04,0.19,16.2
Wheat Straw,Training,45.5,5.1,34.1,1.8,0,17
Wheat Straw,Training,44.92,5.46,41.77,0.44,0.16,17.94
Wheat Straw,Training,43.1,5.3,39.8,0.6,0.2,17.096
Wheat Straw,Testing,43.2,5,39.4,0.61,0.11,17.51
Wheat Straw Waste,Training,45.58,6.04,46.6,1.18,0.59,17.344
Wheat Straw,Training,42.95,5.35,46.99,0,0,17.988
White Fir Wood,Testing,49,5.98,44.75,0.05,0.01,19.95
White Oak Wood,Training,49.48,5.38,43.13,0.35,0.01,19.42
White Oak,Training,49.48,5.38,44.78,0.35,0.01,19.442
Willow Char 5500C,Training,81.7,2.4,8.6,0.4,0.04,34.9
Willow Wood,Training,49.9,5.9,41.8,0.61,0.07,19.59
Willow Wood Chips,Training,49.3,6,42.7,0.6,0.1,19.626
Winter Wheat Straw,Training,46.9,5.3,42.4,0.4,0.1,18.798
Winter Wheat (Whole Crop),Training,46.5,5.3,41.7,1.2,0.1,18.689
Winter Wheat (mixed sample),Testing,45.8,5.1,41.1,0.3,0.1,18.15
Winterriticale Straw,Training,47,5.3,42.7,0.3,0.1,18.873
Wintertriticale (Whole Crop),Training,43.1,5.2,45.2,0.8,0.2,18.48
Wood Chips,Training,48.1,5.99,45.74,0.08,0,19.916
Wood Sawdust Waste,Training,45.97,5.13,48.53,0.12,0.24,18.207
Wood,Testing,47.8,5.8,39,1.4,0.1,17.205
Wood/Pit,Training,48.62,5.78,39.73,0.65,0.06,19.66
Wood/Wheat Straw,Training,47.48,5.81,37.92,0.35,0.12,18.8
Wyoming Elkol,Testing,71.5,5.3,16.9,1.2,0.9,29.57
Yard Waste,Training,41.54,4.79,31.91,0.85,0.24,16.3
