package,authors,imports,suggests,depends,Roxygen,gh,rforge,descr,r_count,r_size,ns_import,ns_export,s3_methods,s4_methods,doc_count,doc_size,src_count,src_size,data_count,data_size,testthat_count,testthat_size,check_time,status
cheb,1,0,0,0,0,0,0,39,1,6.43e-4,0,0,0,0,0,0,1,0.008872,0,0,0,0,33,1
chebpol,1,3,4,0,1,1,0,536,14,0.059083,0,18,0,0,3,0.080596,8,0.064726,0,0,0,0,152,1
checkarg,1,0,0,1,1,0,0,298,438,1.157463,0,437,0,0,0,0,0,0,0,0,436,2.880052,80,1
CheckDigit,1,0,1,0,0,1,0,135,3,0.003919,0,0,0,0,0,0,0,0,0,0,0,0,39,1
checkLuhn,1,3,1,1,1,1,0,189,3,0.002873,6,2,0,0,0,0,0,0,1,6.82e-4,2,0.001798,62,1
checkmate,1,2,12,1,1,1,0,163,67,0.123815,4,370,1,0,1,0.012911,26,0.08383,0,0,62,0.097566,122,1
checkpoint,1,1,7,1,1,1,0,1032,16,0.050283,10,9,0,0,2,0.013281,0,0,0,0,11,0.02274,193,1
checkr,1,1,9,0,1,1,0,162,50,0.084897,1,73,0,0,2,0.009089,0,0,0,0,44,0.029643,66,1
cheddar,1,0,0,0,0,1,0,321,12,0.218732,4,0,22,0,5,0.130463,6,0.043489,9,0.040482,0,0,146,1
chemCal,1,0,4,0,1,0,0,440,4,0.008447,2,0,9,0,1,0.006757,0,0,5,0.001353,5,0.006149,52,1
chemmodlab,1,19,2,1,1,1,0,639,13,0.123839,5,5,3,0,0,0,0,0,1,0.061371,0,0,72,1
chemometrics,1,10,1,2,0,0,0,138,40,0.076567,20,0,0,0,0,0,0,0,8,0.981018,0,0,174,1
ChemometricsWithR,1,4,23,0,0,1,0,216,5,0.019168,6,0,6,0,0,0,0,0,0,0,0,0,93,1
ChemoSpec,1,4,23,2,1,1,0,830,64,0.182326,62,69,0,0,1,0.05629,0,0,5,1.672941,1,0.001384,121,1
ChemoSpec2D,1,7,2,2,1,1,0,889,38,0.0721,40,39,0,0,1,0.012617,0,0,1,0.099016,1,0.001294,76,1
ChemoSpecUtils,1,4,3,1,1,1,0,80,48,0.076227,26,29,18,0,0,0,0,0,0,0,1,0.005848,65,1
cherry,3,3,2,1,0,0,0,264,7,0.093669,6,1,0,1,1,0.053159,0,0,1,4.5e-4,0,0,121,1
CHFF,1,0,0,0,0,0,0,101,3,0.011663,2,0,0,0,0,0,0,0,1,0.00169,0,0,37,1
chi,1,0,0,0,1,1,0,162,2,0.003462,4,8,0,0,0,0,0,0,0,0,0,0,25,1
chi2x3way,2,0,0,3,0,0,0,249,12,0.029935,5,0,0,0,0,0,0,0,2,4.81e-4,0,0,35,1
chicane,1,5,5,3,1,0,0,358,34,0.084953,4,18,0,0,2,0.017647,0,0,1,0.502108,18,0.027931,317,1
childesr,1,7,3,1,1,1,0,181,1,0.022361,2,11,0,0,1,0.007554,0,0,0,0,0,0,116,1
childhoodmortality,1,3,2,1,1,0,0,851,3,0.011224,0,1,0,0,1,0.006151,0,0,1,0.006069,0,0,52,1
childsds,1,14,1,1,1,0,0,712,7,0.058814,4,13,0,1,0,0,0,0,32,0.802092,0,0,73,1
chillR,1,16,2,1,1,0,0,1390,66,0.531554,61,77,0,0,1,0.031016,0,0,4,0.052325,0,0,271,1
chinese.misc,1,8,0,1,1,1,0,266,47,0.132834,8,33,0,0,0,0,0,0,0,0,0,0,141,1
chipPCR,1,9,7,2,0,1,0,995,22,0.078052,11,1,0,1,1,0.124902,0,0,31,1.926377,0,0,223,1
ChIPtest,1,0,0,0,0,0,0,314,4,0.005709,2,1,0,0,0,0,3,0.002508,2,0.003324,0,0,41,1
CHMM,1,1,0,1,1,1,0,127,11,0.033295,6,11,0,0,0,0,2,0.007563,1,0.039151,0,0,79,1
chngpt,1,6,3,1,0,0,0,485,10,0.145802,9,2,10,0,0,0,23,0.646093,3,0.008139,0,0,278,1
CHNOSZ,1,4,6,1,0,0,1,741,51,0.432129,4,1,0,0,6,0.261747,2,0.106826,0,0,35,0.114316,555,1
ChocoLattes,1,10,0,1,1,0,0,168,25,0.055916,0,4,0,0,0,0,0,0,0,0,0,0,57,1
choiceDes,1,0,0,2,0,0,0,100,3,0.009806,4,0,0,0,0,0,0,0,0,0,0,0,34,1
ChoiceModelR,1,0,4,1,0,0,0,498,1,0.023712,0,0,0,0,0,0,0,0,3,0.133115,0,0,49,1
cholera,1,10,2,1,1,1,0,102,46,0.306163,1,45,17,0,6,0.033506,0,0,17,0.642916,0,0,506,1
CholWishart,1,0,4,1,1,1,0,436,4,0.025182,0,10,0,0,1,0.006376,3,0.011821,0,0,2,0.007424,59,1
choplump,1,0,2,2,0,0,0,104,20,0.013947,0,1,2,0,1,0.008508,0,0,0,0,0,0,146,1
chopthin,1,1,1,0,1,0,0,226,2,0.001892,1,1,0,0,0,0,4,0.009829,0,0,4,0.004036,73,1
ChoR,1,3,2,0,1,0,0,351,3,0.016618,1,6,1,0,0,0,0,0,0,0,0,0,63,1
chords,1,2,1,0,0,0,0,59,3,0.025701,4,6,0,0,0,0,0,0,0,0,3,0.002089,92,1
choroplethr,1,10,3,2,1,0,0,507,19,0.089702,45,31,0,0,0,0,0,0,0,0,6,0.007653,203,1
choroplethrAdmin1,1,1,0,0,1,0,0,213,1,0.004368,5,4,0,0,0,0,0,0,0,0,0,0,69,1
choroplethrMaps,1,0,1,0,0,0,0,71,3,0.003853,0,0,0,0,0,0,0,0,0,0,0,0,41,1
chorrrds,1,6,3,1,1,1,0,170,6,0.069737,1,6,0,0,0,0,0,0,112,1.558014,0,0,71,1
chromer,1,3,2,1,0,1,0,149,3,0.009365,5,2,0,0,0,0,0,0,0,0,3,0.004204,78,1
chromoMap,1,2,3,1,1,0,0,1224,3,0.008951,3,4,0,0,1,0.016131,0,0,1,0.332392,0,0,59,1
chromoR,1,0,0,3,0,0,0,361,4,0.043472,0,1,0,0,0,0,0,0,5,1.361105,0,0,49,1
chron,1,2,2,1,0,0,0,64,7,0.068807,2,3,62,0,0,0,4,0.003486,0,0,0,0,61,1
CHsharp,1,0,0,2,0,0,0,92,8,0.006938,2,0,0,0,0,0,1,0.007385,1,6.4e-5,0,0,42,1
chunked,1,4,3,1,1,1,0,185,10,0.018257,3,10,25,0,0,0,0,0,0,0,9,0.008152,63,1
chunkR,1,1,2,2,1,0,0,72,7,0.017511,3,3,0,5,0,0,6,0.026791,0,0,2,0.006493,74,1
CIAAWconsensus,1,5,0,0,0,0,0,200,1,0.014745,3,0,0,0,0,0,0,0,5,0.017107,0,0,60,1
CIEE,1,2,3,0,1,0,0,1329,11,0.086996,0,14,1,0,1,0.068379,0,0,0,0,0,0,98,1
CIFsmry,1,0,0,1,0,0,0,131,1,0.005979,0,1,2,0,0,0,4,0.020002,0,0,0,0,39,1
cifti,1,5,5,0,1,0,0,142,18,0.026322,12,27,0,0,1,0.003043,0,0,0,0,0,0,81,1
CIM,1,0,0,1,1,0,0,616,2,0.029294,1,1,0,0,0,0,0,0,7,0.010839,0,0,28,1
cimir,1,9,2,1,1,1,0,210,4,0.011561,22,9,0,0,0,0,0,0,0,0,0,0,71,1
cin,3,0,0,0,0,0,0,320,4,0.00279,0,0,0,0,0,0,0,0,0,0,0,0,24,1
CINID,3,3,0,0,0,0,0,173,2,0.006564,2,1,0,0,0,0,0,0,1,3.65e-4,0,0,28,1
CINNA,1,17,2,0,1,0,0,106,6,0.136757,123,18,0,0,1,0.016289,0,0,5,0.102628,0,0,228,1
CIplot,1,2,3,0,1,1,0,515,10,0.011526,10,2,8,0,0,0,0,0,0,0,0,0,84,1
cir,1,0,0,0,1,0,0,142,9,0.050662,2,17,2,0,0,0,0,0,0,0,0,0,29,1
circglmbayes,1,8,0,1,1,1,0,417,9,0.07492,10,23,5,0,0,0,4,0.041326,1,0.049051,0,0,159,1
circlize,1,8,5,2,0,1,0,644,14,0.344357,23,86,1,0,1,1.52e-4,0,0,0,0,0,0,113,1
CircMLE,1,2,0,1,1,0,0,316,14,0.059079,1,14,0,0,0,0,0,0,0,0,0,0,46,1
CircNNTSR,1,0,0,1,0,0,0,256,42,0.039597,2,0,0,0,0,0,0,0,19,0.033876,0,0,403,1
CircOutlier,2,0,0,2,0,0,0,112,5,0.002169,0,0,0,0,0,0,0,0,3,0.020982,0,0,35,1
CircStats,2,0,0,2,0,0,0,120,2,0.038888,4,0,0,0,0,0,0,0,1,7.51e-4,0,0,50,1
circular,10,2,0,2,0,0,0,120,101,0.344053,6,2,59,0,0,0,19,0.023378,37,0.017613,0,0,106,1
CircularDDM,1,1,0,1,1,0,0,54,2,0.006606,1,6,0,0,0,0,3,0.016345,0,0,0,0,68,1
circumplex,1,14,8,1,1,1,0,432,16,0.067762,27,34,5,0,3,0.057956,5,0.013465,15,0.033128,8,0.038303,253,1
cIRT,1,1,2,0,1,1,0,272,6,0.021642,1,10,0,0,3,0.013184,11,0.054996,4,0.017703,0,0,458,1
CISE,1,6,3,1,1,0,0,513,5,0.041095,8,3,0,0,1,0.003804,0,0,2,0.082617,1,2.15e-4,122,1
cit,1,0,0,0,0,0,0,856,1,0.02384,1,1,0,0,0,0,9,0.057296,0,0,0,0,60,1
CITAN,1,7,0,4,1,0,0,286,20,0.161339,49,23,4,0,0,0,0,0,0,0,0,0,115,1
citbcmst,3,0,0,1,0,0,0,153,2,0.029086,0,0,0,0,0,0,0,0,1,1.056696,0,0,57,1
citccmst,1,0,0,0,0,0,0,153,2,0.026053,0,0,0,0,0,0,0,0,1,0.225122,0,0,65,1
Cite,1,4,0,0,1,0,0,104,1,0.002483,16,1,0,0,0,0,0,0,0,0,0,0,66,1
ciTools,1,11,6,1,1,1,0,455,32,0.172563,14,4,24,0,5,0.127118,0,0,0,0,0,0,360,1
citr,1,11,1,1,1,1,0,142,7,0.045257,3,4,0,0,0,0,0,0,0,0,4,0.00488,81,1
CityPlot,1,0,0,0,0,0,0,127,1,0.006868,0,0,0,0,0,0,0,0,0,0,0,0,24,1
CityWaterBalance,1,13,2,1,1,0,0,253,14,0.044369,23,13,0,0,1,0.007801,0,0,1,0.011966,0,0,133,1
ciuupi,1,5,2,0,1,0,0,1547,21,0.04313,0,6,0,0,1,0.005098,0,0,0,0,0,0,45,1
civis,1,18,6,1,1,1,0,167,21,1.787272,13,711,47,28,4,0.036908,0,0,0,0,18,0.121197,293,1
CJAMP,1,2,3,0,1,0,0,1071,10,0.087537,0,16,1,0,1,0.066318,0,0,0,0,0,0,176,1
cjoint,7,7,1,6,1,0,0,323,4,0.20212,27,8,3,0,0,0,0,0,3,0.162426,3,0.226637,168,1
ck37r,1,18,5,1,1,0,0,412,20,0.053842,29,19,1,0,0,0,0,0,0,0,20,0.01364,175,1
ckanr,1,6,5,0,0,1,0,207,65,0.099820999999999993,15,79,29,0,1,0.011507999999999999,0,0,0,0,26,0.021847,76,1
CKLRT,3,6,0,1,1,0,0,1013,7,0.018018,7,2,0,0,0,0,3,0.02476,0,0,0,0,151,1
Ckmeans.1d.dp,1,1,3,0,0,0,0,852,5,0.023583,0,11,6,0,3,0.009075,13,0.076745,0,0,3,0.00781,91,1
CLA,2,3,3,1,0,0,0,187,7,0.033631,3,1,2,0,0,0,0,0,1,1.085876,0,0,128,1
cladoRcpp,1,1,0,0,1,0,0,1090,2,0.125144,2,16,0,0,0,0,5,0.130462,0,0,0,0,73,1
clam,1,4,0,0,1,0,0,469,6,0.104783,33,12,0,0,0,0,0,0,0,0,0,0,67,1
clampSeg,1,4,2,1,0,0,0,237,6,0.030935,3,5,1,0,0,0,8,0.011457,1,0.070784,5,0.230479,293,1
ClamR,1,1,0,0,0,0,0,129,12,0.017606,3,0,0,0,0,0,0,0,6,0.005808,0,0,34,1
clarifai,1,2,3,1,1,1,0,260,11,0.019086,3,10,0,0,2,0.006122,0,0,0,0,9,0.00306,56,1
class,1,1,0,3,0,0,0,123,5,0.015751,2,1,2,0,0,0,1,0.011493,0,0,0,0,51,1
ClassComparison,1,5,0,2,0,0,1,234,11,0.045627,8,15,0,8,1,0.012147,0,0,0,0,0,0,108,1
ClassDiscovery,1,7,1,3,0,0,1,243,9,0.033797,12,11,0,6,2,0.021076,0,0,0,0,0,0,132,1
classGraph,1,5,1,1,0,0,0,173,2,0.009066,6,2,0,0,0,0,0,0,0,0,0,0,57,1
classifierplots,1,8,1,3,1,1,0,299,13,0.035056,24,13,0,0,0,0,0,0,1,0.00331,0,0,135,1
classifly,1,3,4,0,0,0,0,414,6,0.013936,0,9,16,0,0,0,0,0,0,0,0,0,49,1
classiFunc,1,10,4,1,1,1,0,115,8,0.057262,27,7,6,0,1,0.008678,0,0,7,1.023933,4,0.022016,159,1
classInt,1,5,1,1,1,1,0,110,1,0.017549,5,1,2,0,0,0,2,0.005677,0,0,0,0,58,1
classyfire,1,2,2,5,0,0,0,406,10,0.028062,6,13,0,0,1,0.006679,0,0,0,0,0,0,135,1
classyfireR,1,5,5,1,1,1,0,157,6,0.006711,2,4,0,0,0,0,0,0,0,0,2,0.001183,57,1
cld2,1,1,3,0,1,1,0,471,2,0.002906,1,2,0,0,0,0,4,0.005168,0,0,1,0.001149,83,1
cld3,1,1,2,0,1,1,0,415,2,0.002164,1,2,0,0,0,0,6,0.008725,0,0,0,0,71,1
CleanBSequences,5,0,0,1,1,0,0,389,2,0.002167,1,2,0,0,0,0,0,0,0,0,0,0,84,1
cleandata,1,1,1,1,0,1,0,197,6,0.009215,0,0,0,0,0,0,0,0,0,0,0,0,42,1
cleanEHR,7,8,1,1,1,1,0,310,15,0.09229,27,39,0,4,2,0.01936,3,0.003267,3,0.312848,14,0.021834,190,1
cleangeo,1,2,3,3,0,1,0,319,9,0.027403,3,1,0,0,1,0.002633,0,0,0,0,2,0.00915,108,1
cleanNLP,1,6,8,1,1,1,0,627,14,0.115359,0,44,1,0,1,0.015197,0,0,5,2.031712,6,0.021547,78,1
cleanr,1,1,3,1,1,1,0,631,7,0.03631,0,18,0,0,1,0.005812,0,0,0,0,0,0,58,1
clere,2,1,0,4,0,0,0,307,4,0.039424,7,1,0,1,1,0.064248,13,0.040892,3,0.043935,0,0,131,1
clespr,1,10,0,1,1,0,0,416,7,0.065656,11,0,0,0,0,0,0,0,0,0,0,0,127,1
clhs,1,10,3,1,1,0,0,396,9,0.036781,25,2,4,0,1,0.004772,0,0,0,0,4,0.001661,246,1
cli,1,4,6,1,1,1,0,176,14,0.036749,9,16,6,0,0,0,0,0,0,0,12,0.024616,55,1
cliapp,1,11,4,0,1,1,0,127,15,0.059403,28,24,0,0,0,0,0,0,0,0,12,0.019835,142,1
ClickClust,1,0,0,1,0,0,0,238,4,0.025329,3,13,4,0,0,0,8,0.031303,3,0.035587,0,0,52,1
clickR,2,8,0,0,1,0,0,179,4,0.080714,39,31,20,0,0,0,0,0,0,0,0,0,58,1
clickstream,2,7,0,8,1,0,0,277,7,0.096937,22,21,6,6,0,0,0,0,0,0,0,0,154,1
clifro,1,10,5,0,1,1,0,566,9,0.14444,94,9,0,4,4,0.047446,0,0,0,0,7,0.002637,119,1
CliftLRD,1,0,1,2,0,0,0,165,5,0.009109,3,0,0,0,0,0,0,0,0,0,0,0,47,1
clikcorr,3,2,0,0,0,0,0,161,30,0.085786,2,10,4,0,0,0,0,0,2,0.013944,0,0,45,1
climatol,1,4,6,3,0,0,0,237,3,0.122485,5,0,0,0,0,0,0,0,8,0.184807,0,0,92,1
climbeR,1,3,6,1,1,0,0,318,2,0.019465,3,5,0,0,1,0.012635,0,0,0,0,3,0.448805,89,1
ClimClass,1,3,1,1,1,0,0,237,14,0.107316,18,11,1,0,0,0,0,0,1,1.263304,0,0,88,1
climdex.pcic,1,2,2,2,1,0,0,85,2,0.092405,5,42,0,0,0,0,2,0.011217,1,0.056192,0,0,61,1
ClimDown,1,8,1,0,1,0,0,398,12,0.064226,8,5,0,0,0,0,0,0,0,0,0,0,51,1
clime,2,0,2,1,0,0,0,223,9,0.009102,0,1,2,0,0,0,0,0,0,0,0,0,50,1
climextRemes,1,3,0,0,1,0,0,534,7,0.187754,14,13,0,0,0,0,0,0,0,0,0,0,78,1
ClimProjDiags,1,5,2,1,1,0,0,496,13,0.092765,5,13,0,0,4,0.048179,0,0,0,0,0,0,63,1
climwin,1,9,3,4,1,1,0,124,21,0.346335,21,18,0,0,2,0.054132,0,0,11,0.391778,19,0.153298,267,1
clinDR,1,8,0,2,0,0,0,440,46,0.170403,10,0,39,0,0,0,0,0,2,0.021872,0,0,117,1
clinfun,1,1,1,3,0,0,0,250,19,0.068751,3,1,13,0,0,0,18,0.045789,0,0,0,0,80,1
clinPK,1,2,0,0,1,0,0,401,60,0.084164,5,60,0,0,0,0,0,0,0,0,0,0,56,1
clinsig,1,2,0,0,0,0,0,48,2,0.008945,2,1,3,0,0,0,0,0,0,0,0,0,32,1
clinUtiDNA,1,0,0,0,0,0,0,358,10,0.030571,0,3,0,0,0,0,0,0,0,0,0,0,37,1
clipr,1,1,3,0,1,1,0,89,9,0.017392,0,6,0,0,0,0,0,0,0,0,4,0.007135,43,1
cliqueMS,1,7,3,1,1,1,0,738,10,0.04415,2,6,1,0,1,0.012818,9,0.065654,3,0.088408,4,0.002478,211,1
clisymbols,1,0,1,0,0,1,0,270,1,0.006274,0,1,0,0,0,0,0,0,0,0,1,2.7e-4,36,1
CLME,1,9,0,3,1,0,0,267,14,0.147141,19,20,38,2,0,0,0,0,2,0.00893,0,0,134,1
clogitboost,1,1,0,0,0,0,0,61,10,0.005136,3,5,3,0,0,0,2,0.005513,1,0.005235,0,0,114,1
clogitLasso,3,2,0,0,1,0,0,210,7,0.030738,8,2,1,0,0,0,0,0,0,0,0,0,31,1
clordr,1,9,0,0,1,0,0,768,7,0.028914,10,0,0,0,0,0,0,0,0,0,0,0,44,1
cloudml,1,10,4,2,1,0,0,158,18,0.063663,10,19,9,0,5,0.048169,0,0,0,0,4,0.003993,65,1
cloudUtil,2,0,0,2,0,0,0,74,1,0.002873,2,0,0,0,1,0.005493,0,0,1,0.153176,0,0,65,1
clpAPI,1,1,0,1,0,0,0,78,5,0.029607,1,1,0,0,1,0.004279,6,0.043036,0,0,0,0,75,1
clr,3,4,0,1,1,0,0,433,7,0.024637,8,2,1,0,0,0,0,0,6,2.736771,0,0,66,1
CLSOCP,1,0,0,1,0,0,0,190,21,0.034385,1,0,0,0,0,0,0,0,2,0.002682,0,0,63,1
clttools,2,0,0,0,0,0,0,181,1,0.04602,20,25,0,0,0,0,0,0,0,0,0,0,29,1
clubSandwich,1,2,14,1,1,1,0,1000,20,0.103875,2,5,19,0,3,0.023081,0,0,4,0.163672,19,0.149923,315,1
clue,1,4,4,1,0,0,0,18,29,0.245055,3,1,240,0,1,0.060045,7,0.026244,7,0.024459,0,0,118,1
ClueR,1,0,0,3,1,0,0,403,6,0.025293,5,6,0,0,0,0,0,0,5,3.270501,0,0,58,1
clues,1,0,1,4,0,0,0,354,9,0.034374,3,1,4,0,0,0,8,0.049279,4,0.04647,0,0,51,1
CluMP,1,8,2,1,1,0,0,184,7,0.049231,8,6,0,0,0,0,0,0,4,0.00107,0,0,92,1
clusrank,1,3,0,1,1,0,0,95,13,0.096039,15,3,3,0,0,0,3,0.01729,5,0.009105,0,0,78,1
clust.bin.pair,1,0,1,1,1,1,0,775,10,0.012354,0,3,0,0,0,0,0,0,3,0.001158,1,0.006383,39,1
clustEff,1,0,0,3,1,0,0,227,1,0.027989,35,3,4,0,0,0,0,0,0,0,0,0,85,1
cluster,1,4,2,1,0,0,0,171,8,0.029247,4,5,42,0,0,0,12,0.110516,3,0.041645,0,0,230,1
cluster.datasets,1,0,0,1,0,0,0,56,0,0,0,0,0,0,0,0,0,0,54,0.04167,0,0,27,1
Cluster.OBeu,1,15,2,0,1,1,0,514,7,0.026842,9,8,0,0,2,0.010692,0,0,1,0.003862,0,0,90,1
ClusterBootstrap,1,0,0,5,1,1,0,86,6,0.017018,3,2,3,0,0,0,0,0,2,0.003379,0,0,27,1
clusterCrit,1,0,2,0,0,0,0,38,2,0.007219,0,1,0,0,1,0.072519,11,0.124125,0,0,0,0,43,1
clusteredinterference,1,5,5,1,1,1,0,304,16,0.090454,0,2,2,0,1,0.004515,0,0,1,0.002208,10,0.00865,625,1
ClusteredMutations,1,0,0,1,0,0,0,321,4,0.004174,2,0,0,0,1,0.010187,0,0,1,0.046624,0,0,187,1
clusterfly,1,4,4,1,0,0,0,184,11,0.025388,7,14,15,0,0,0,0,0,0,0,0,0,77,1
clusterGeneration,2,0,0,2,0,0,0,515,7,0.176217,1,1,0,0,0,0,0,0,0,0,0,0,54,1
clusterGenomics,1,0,0,0,0,0,0,203,9,0.022517,0,0,0,0,0,0,0,0,2,0.078095,0,0,37,1
clusterhap,2,2,3,1,1,0,0,512,3,0.006656,2,1,0,0,1,0.008868,0,0,2,0.033859,0,0,72,1
clustering.sc.dp,1,0,0,1,0,0,0,822,1,0.007388,0,4,1,0,0,0,3,0.009865,0,0,0,0,38,1
clusterlab,1,2,1,1,1,0,0,1027,1,0.017873,3,1,0,0,1,0.008439,0,0,0,0,0,0,82,1
clustermq,1,7,8,1,1,1,0,203,21,0.049421,0,4,0,0,1,0.008492,0,0,0,0,7,0.012647,55,1
clusternomics,1,3,6,0,1,1,0,193,5,0.048782,8,8,0,0,1,0.010173,0,0,0,0,2,0.022192,47,1
clusterPower,1,1,0,0,1,0,0,315,7,0.046114,0,14,0,0,0,0,0,0,0,0,0,0,40,1
ClusterR,1,8,5,2,1,1,0,952,2,0.110008,9,20,0,0,1,0.025137,5,0.040754,3,0.16199,6,0.114176,355,1
ClusterRankTest,2,0,0,3,0,0,0,182,2,0.004445,1,0,1,0,0,0,0,0,1,1.69e-4,0,0,29,1
clusterRepro,1,0,0,1,0,0,0,111,1,0.002483,0,1,0,0,0,0,0,0,0,0,0,0,27,1
clusterSEs,1,4,0,5,1,0,0,433,11,0.138567,26,10,0,0,0,0,0,0,0,0,0,0,136,1
clusterSim,2,9,2,3,0,0,0,1324,30,0.145945,6,0,0,0,0,0,2,0.005309,10,0.022468,3,5.6e-4,390,1
ClusterStability,4,0,0,6,0,0,0,174,2,0.01129,6,0,0,0,0,0,2,0.014414,0,0,0,0,187,1
clustertend,2,0,0,0,0,0,0,146,1,0.001234,0,0,0,0,0,0,0,0,0,0,0,0,27,1
clusteval,1,3,0,1,0,0,0,116,10,0.040297,3,8,0,0,0,0,6,0.005008,0,0,0,0,78,1
ClustGeo,1,2,2,1,1,0,0,100,7,0.020212,8,7,1,0,1,0.012421,0,0,1,0.417792,0,0,121,1
clustMD,1,10,0,1,1,0,0,179,6,0.094156,6,3,6,0,0,0,0,0,1,0.006758,0,0,76,1
clustMixType,1,1,1,0,1,0,0,289,1,0.032013,8,3,4,0,0,0,0,0,0,0,1,0.003999,50,1
ClustMMDD,1,1,0,2,0,0,0,684,4,0.0643,5,10,0,8,0,0,4,0.115333,4,0.078969,0,0,111,1
ClustOfVar,1,1,0,1,1,0,0,104,20,0.054525,8,20,9,0,0,0,0,0,7,0.056086,0,0,66,1
clustRcompaR,2,4,3,1,1,1,0,886,2,0.012466,0,7,0,0,1,0.003417,0,0,1,0.194189,2,5.35e-4,74,1
clustrd,4,9,0,3,0,0,0,777,30,0.07266,17,0,9,0,0,0,0,0,3,0.025166,0,0,157,1
clustree,1,10,7,2,1,1,0,324,6,0.069474,33,2,8,0,1,0.012809,0,0,2,0.375573,5,0.009976,196,1
clustsig,1,0,0,1,0,0,0,392,3,0.024129,0,0,0,0,0,0,0,0,0,0,0,0,30,1
ClustVarLV,1,5,2,1,1,0,0,380,34,0.126208,7,13,5,0,1,0.009038,5,0.003944,3,0.101904,0,0,132,1
clustvarsel,1,5,5,2,0,0,0,505,8,0.063138,4,1,1,0,1,0.011803,0,0,0,0,0,0,83,1
ClusVis,1,7,0,1,1,0,0,169,8,0.031517,20,4,0,0,0,0,4,0.008564,1,0.001742,0,0,144,1
clv,1,0,0,2,0,0,0,380,15,0.065978,2,1,0,0,0,0,10,0.06136,0,0,0,0,51,1
clValid,4,2,7,2,0,0,0,60,4,0.04959,1,1,2,1,1,0.049998,0,0,1,0.008542,0,0,94,1
cmaes,1,0,1,1,0,0,0,45,2,0.016254,0,9,0,0,0,0,0,0,0,0,0,0,32,1
cmaesr,1,1,1,4,1,1,0,125,6,0.032495,6,15,1,0,0,0,0,0,0,0,4,0.008005,92,1
CMatching,1,4,1,2,0,0,0,333,3,0.024319,6,1,4,0,0,0,0,0,1,0.004188,0,0,106,1
CMC,1,0,0,0,0,0,0,58,2,0.001917,0,0,0,0,0,0,0,0,1,0.002641,0,0,23,1
cmce,3,1,0,1,0,0,0,310,3,0.035833,1,0,0,0,0,0,0,0,0,0,0,0,38,1
CMF,1,1,0,0,0,0,0,356,2,0.029986,1,0,0,0,0,0,4,0.009933,0,0,0,0,72,1
CMLS,1,0,0,2,0,0,0,686,15,0.088195,4,0,0,0,0,0,0,0,0,0,0,0,37,1
cmm,1,0,0,0,0,0,0,261,1,0.070788,1,1,1,0,0,0,0,0,16,0.047624,0,0,38,1
cmna,1,0,1,1,1,1,0,189,51,0.135346,3,81,0,0,0,0,0,0,0,0,7,0.004056,77,1
CMPControl,1,0,0,1,0,0,0,345,4,0.013609,1,0,0,0,0,0,0,0,1,1.33e-4,0,0,32,1
CMplot,1,0,0,1,0,0,0,746,2,0.067295,4,0,0,0,0,0,0,0,2,1.7386,0,0,34,1
cmpprocess,1,2,0,0,1,0,0,362,3,0.008314,3,2,0,0,0,0,0,0,1,3.55e-4,0,0,30,1
cmprsk,1,0,0,2,0,0,0,356,1,0.020443,1,1,8,0,0,0,4,0.028569,0,0,0,0,87,1
cmprskQR,2,4,0,1,0,0,0,189,2,0.015307,4,1,6,0,0,0,1,8.65e-4,0,0,0,0,113,1
cmrutils,1,0,0,2,0,1,0,118,8,0.002903,1,6,0,0,0,0,0,0,0,0,0,0,40,1
cmsaf,1,0,0,4,0,0,0,1251,63,0.555639,6,63,0,0,0,0,0,0,0,0,0,0,175,1
cmvnorm,1,1,0,1,0,1,0,69,2,0.007702,3,0,4,0,1,0.023001,0,0,0,0,0,0,106,1
cna,1,4,1,1,0,0,0,965,35,0.131231,4,0,63,0,1,0.110418,11,0.03957,0,0,0,0,164,1
cnbdistr,1,2,4,1,1,0,0,85,6,0.012306,0,6,0,0,1,0.007197,0,0,0,0,6,0.006116,82,1
cncaGUI,3,7,0,1,0,0,0,203,1,0.365333,19,0,0,0,0,0,0,0,2,8.76e-4,0,0,90,1
CNLTreg,1,0,1,3,0,0,0,175,7,0.011206,5,0,0,0,0,0,0,0,0,0,0,0,49,1
CNLTtsa,1,0,0,5,0,0,0,176,12,0.015719,4,0,2,0,0,0,0,0,2,0.057504,0,0,73,1
cnmlcd,2,0,0,1,0,0,0,207,1,0.013794,2,1,3,0,0,0,0,0,3,0.026271,0,0,32,1
CNOGpro,2,0,0,1,0,0,0,110,29,0.030712,1,1,0,0,0,0,0,0,1,0.00939,0,0,54,1
cNORM,1,4,6,1,1,1,0,871,9,0.14676,6,1,0,0,1,0.028762,0,0,5,0.447527,0,0,94,1
CNprep,2,0,0,4,0,0,0,293,19,0.019205,1,0,0,0,0,0,0,0,5,4.060173,0,0,55,1
CNull,1,4,0,0,0,0,0,605,2,0.011334,5,1,0,0,0,0,10,0.038333,0,0,0,0,235,1
CNVScope,4,43,2,1,1,1,0,179,25,0.195988,62,24,0,0,2,0.010236,0,0,1,0.003341,0,0,662,1
coala,1,10,6,1,1,1,0,468,54,0.171773,17,64,71,0,6,0.023738,10,0.040638,0,0,47,0.127989,197,1
coalescentMCMC,1,3,0,3,0,0,0,210,5,0.017544,6,1,0,0,2,0.02013,2,9.5e-4,0,0,0,0,154,1
