age,diet,height,location,date,Class
24,NA,69,stanford,2012-06-29,other
30,anything,65,san francisco,2012-05-27,other
29,NA,73,san francisco,2012-06-26,other
39,mostly anything,76,san francisco,2012-06-29,other
45,mostly anything,72,oakland,2012-06-30,other
24,mostly anything,70,daly city,2012-06-10,other
42,mostly anything,70,san francisco,2012-06-29,stem
21,NA,70,san francisco,2012-06-20,other
26,strictly vegetarian,68,san mateo,2012-06-24,other
33,strictly anything,70,emeryville,2012-06-21,other
26,NA,72,mountain view,2012-06-19,other
26,NA,69,san carlos,2012-03-12,stem
21,anything,66,san francisco,2011-11-03,other
25,mostly anything,75,novato,2012-03-06,other
35,NA,72,san francisco,2011-09-22,other
21,strictly other,70,hayward,2012-06-16,other
28,NA,72,walnut creek,2012-06-28,stem
25,vegetarian,71,san francisco,2012-06-29,other
31,NA,77,san francisco,2012-06-30,stem
29,mostly anything,74,san francisco,2012-06-30,other
31,anything,72,san francisco,2012-06-30,stem
26,mostly anything,70,oakland,2012-06-25,stem
26,NA,72,palo alto,2012-06-28,other
24,other,64,san francisco,2012-06-29,other
29,NA,72,san francisco,2012-06-30,other
45,NA,70,san francisco,2012-06-27,other
29,NA,73,emeryville,2012-06-30,other
31,anything,70,san francisco,2012-06-14,other
30,NA,75,oakland,2012-06-30,other
23,mostly anything,60,san francisco,2012-06-30,other
27,NA,72,oakland,2011-12-19,other
27,NA,73,san francisco,2012-06-28,other
55,NA,71,albany,2012-06-26,stem
27,mostly anything,70,oakland,2012-04-30,other
30,anything,67,san francisco,2012-06-30,other
24,NA,73,san francisco,2012-06-28,other
25,NA,75,berkeley,2012-06-28,other
40,mostly anything,65,san francisco,2012-06-29,other
26,NA,67,berkeley,2012-06-29,other
23,mostly anything,78,san francisco,2012-02-18,other
61,anything,66,palo alto,2012-06-26,other
25,NA,69,san francisco,2012-01-09,stem
26,NA,72,oakland,2012-06-30,other
36,strictly anything,67,oakland,2012-06-30,other
28,mostly anything,69,oakland,2012-06-27,other
36,anything,77,san francisco,2012-06-30,other
35,NA,77,san francisco,2012-06-30,stem
51,NA,73,san francisco,2012-04-23,other
29,NA,70,san francisco,2011-08-05,stem
36,NA,68,oakland,2012-06-12,other
24,strictly anything,72,san francisco,2012-06-30,other
18,anything,66,castro valley,2012-06-30,other
47,NA,64,san francisco,2012-06-08,other
25,NA,73,san mateo,2012-06-27,other
27,mostly anything,66,san leandro,2011-11-29,other
26,NA,71,san francisco,2011-10-01,stem
42,NA,63,oakland,2012-06-26,other
28,mostly anything,73,san francisco,2012-06-30,other
28,mostly anything,67,rodeo,2012-02-21,other
49,mostly anything,69,san francisco,2012-04-25,other
21,strictly anything,62,san mateo,2012-06-30,other
28,mostly anything,67,rodeo,2012-06-28,other
26,mostly anything,69,colma,2012-06-22,other
28,mostly anything,68,san francisco,2012-06-30,other
33,mostly anything,66,san francisco,2012-06-24,other
34,anything,64,san francisco,2012-06-30,other
25,NA,63,san francisco,2012-06-28,other
27,mostly anything,69,san francisco,2012-06-30,other
30,mostly anything,73,san francisco,2012-06-28,other
24,mostly anything,68,san francisco,2012-06-26,stem
21,other,75,oakland,2012-05-18,other
53,mostly vegetarian,65,el cerrito,2012-06-30,other
25,mostly anything,70,novato,2012-06-27,other
30,strictly anything,72,oakland,2012-06-27,stem
28,mostly anything,66,san francisco,2012-06-29,other
29,NA,74,lafayette,2012-06-30,other
28,NA,70,san francisco,2012-06-30,other
29,mostly anything,72,san francisco,2012-06-30,other
31,NA,75,san francisco,2012-05-21,stem
24,mostly anything,70,san francisco,2012-06-20,other
28,strictly anything,76,san francisco,2012-06-29,other
24,mostly anything,67,san francisco,2012-02-24,stem
27,strictly anything,73,san francisco,2012-06-29,other
21,NA,75,belmont,2012-06-30,other
38,mostly anything,74,berkeley,2012-01-18,other
30,strictly anything,72,san francisco,2012-06-30,other
29,mostly anything,63,berkeley,2012-05-27,other
39,NA,70,san francisco,2012-06-07,other
39,NA,69,san francisco,2012-06-30,other
18,NA,64,stanford,2012-06-28,other
23,mostly anything,77,berkeley,2012-06-24,other
33,strictly anything,70,san francisco,2012-06-30,other
30,strictly anything,73,san francisco,2012-01-09,other
33,mostly anything,65,san leandro,2012-06-30,stem
19,mostly anything,72,san francisco,2012-04-19,other
25,strictly anything,74,san francisco,2012-06-30,other
19,mostly anything,70,oakland,2012-05-26,other
21,mostly other,71,san francisco,2012-06-30,other
33,strictly anything,73,san francisco,2012-06-29,other
26,NA,73,san francisco,2011-10-10,stem
30,vegetarian,62,san francisco,2011-10-26,other
28,anything,73,oakland,2012-06-27,other
20,NA,71,pleasant hill,2012-06-29,other
25,mostly anything,66,oakland,2012-06-26,other
24,strictly anything,72,san francisco,2012-06-26,stem
23,anything,70,san francisco,2012-06-28,stem
44,NA,72,san francisco,2012-06-07,other
31,NA,66,benicia,2012-05-10,other
26,anything,74,san carlos,2012-06-30,other
33,NA,71,fremont,2012-06-27,stem
29,mostly vegetarian,72,berkeley,2012-06-28,other
26,strictly anything,75,san francisco,2012-06-19,stem
45,NA,69,oakland,2012-06-17,other
31,mostly anything,69,san rafael,2012-05-12,other
36,NA,68,san francisco,2012-06-29,other
36,anything,64,berkeley,2012-06-28,other
28,NA,64,san francisco,2012-06-25,other
33,mostly vegetarian,70,oakland,2012-06-29,other
40,NA,70,san francisco,2012-06-29,other
24,mostly anything,64,san francisco,2012-06-25,other
28,NA,58,san francisco,2012-05-30,other
29,mostly anything,60,san francisco,2012-06-30,stem
29,NA,68,orange,2012-06-30,other
38,mostly anything,60,san francisco,2012-06-29,other
40,mostly anything,73,san francisco,2012-06-30,stem
47,mostly anything,74,san francisco,2012-06-29,other
25,strictly anything,69,san francisco,2012-04-29,other
24,NA,62,lafayette,2012-06-30,other
28,NA,64,pacifica,2011-08-28,other
23,mostly anything,69,benicia,2012-06-30,other
33,mostly anything,65,san francisco,2012-06-26,stem
38,NA,67,san francisco,2012-06-29,stem
45,mostly anything,65,san francisco,2012-04-08,other
36,NA,63,san francisco,2012-06-30,other
25,mostly anything,69,berkeley,2012-06-30,other
28,mostly anything,65,san francisco,2012-06-10,other
32,NA,74,oakland,2012-06-30,stem
31,mostly anything,71,oakland,2012-04-11,other
28,mostly anything,63,san francisco,2012-06-24,other
24,mostly anything,67,san francisco,2012-06-18,other
30,mostly anything,70,berkeley,2012-06-28,other
32,strictly vegan,72,san francisco,2012-06-17,stem
35,NA,73,menlo park,2011-09-26,stem
30,NA,71,san francisco,2012-06-29,stem
23,mostly anything,70,burlingame,2012-05-20,other
24,mostly vegetarian,72,stanford,2012-01-11,other
35,strictly anything,72,san francisco,2011-12-23,stem
41,NA,72,san francisco,2012-06-28,other
28,NA,74,san francisco,2012-06-25,other
27,NA,70,palo alto,2012-03-05,other
28,strictly anything,67,oakland,2012-06-29,other
41,NA,74,san francisco,2012-06-21,stem
29,strictly anything,76,san francisco,2012-06-29,other
25,mostly anything,74,san francisco,2012-06-29,other
35,NA,70,oakland,2012-06-29,other
29,mostly anything,70,san francisco,2011-11-27,stem
22,NA,62,san leandro,2011-09-02,other
36,NA,70,south san francisco,2012-02-20,stem
40,mostly anything,64,berkeley,2012-05-18,other
35,NA,62,san francisco,2012-06-17,other
32,NA,67,san francisco,2012-06-28,other
47,NA,69,san francisco,2012-04-25,other
29,NA,67,san francisco,2012-06-29,other
27,mostly anything,74,san francisco,2012-06-28,other
30,NA,62,richmond,2012-06-30,other
26,NA,73,oakland,2011-09-28,other
29,NA,70,oakland,2012-06-26,other
33,NA,70,berkeley,2012-06-29,stem
28,NA,66,san francisco,2012-01-15,stem
35,mostly vegetarian,71,san francisco,2012-04-29,other
22,NA,67,san francisco,2012-01-05,other
35,mostly anything,61,san francisco,2012-06-29,other
24,strictly anything,70,san francisco,2012-06-15,stem
18,mostly anything,66,berkeley,2012-05-07,other
24,NA,70,san francisco,2012-05-19,other
42,mostly anything,67,palo alto,2012-06-16,other
31,NA,68,hayward,2012-06-14,other
22,anything,66,san francisco,2012-06-28,other
34,strictly anything,74,oakland,2012-06-30,stem
26,mostly vegetarian,70,mountain view,2012-05-20,other
33,NA,73,san francisco,2012-05-25,stem
33,mostly anything,69,san francisco,2012-06-30,other
28,NA,69,san francisco,2012-06-28,other
27,anything,71,oakland,2011-08-01,other
23,strictly anything,70,palo alto,2012-06-30,stem
24,mostly anything,72,san francisco,2012-03-21,other
26,NA,65,san francisco,2011-09-05,other
27,NA,66,palo alto,2012-01-20,other
37,strictly anything,68,san pablo,2012-06-25,stem
59,mostly anything,60,pleasant hill,2012-06-30,stem
23,strictly anything,72,san francisco,2012-06-04,stem
28,NA,70,berkeley,2012-06-23,other
26,NA,65,san rafael,2012-06-29,other
27,mostly anything,69,berkeley,2012-06-28,other
49,mostly anything,74,san francisco,2012-06-10,other
30,NA,67,san carlos,2012-06-27,other
27,NA,70,oakland,2012-06-05,stem
34,NA,67,san francisco,2012-06-30,other
34,mostly anything,65,san francisco,2011-12-30,other
31,NA,64,castro valley,2012-06-17,other
26,mostly anything,68,hayward,2012-02-08,other
21,NA,64,san rafael,2012-06-30,other
25,NA,70,san francisco,2011-07-04,stem
29,mostly anything,70,burlingame,2012-06-25,stem
28,mostly anything,76,san francisco,2012-06-27,stem
22,NA,69,san francisco,2012-02-27,stem
25,NA,74,san francisco,2012-06-30,other
40,anything,71,san francisco,2012-06-30,other
49,mostly anything,71,san francisco,2012-06-30,other
34,mostly anything,71,san leandro,2012-06-30,other
36,NA,63,san francisco,2012-06-30,other
29,anything,72,martinez,2012-06-27,other
34,strictly anything,73,alameda,2012-06-21,other
33,NA,73,berkeley,2012-06-30,other
46,NA,72,san francisco,2012-02-16,other
25,anything,65,san francisco,2012-06-17,other
34,NA,71,hayward,2012-06-30,other
26,mostly anything,72,redwood city,2012-01-31,other
26,NA,70,burlingame,2012-06-30,other
28,NA,62,burlingame,2012-06-22,other
27,anything,70,san francisco,2012-06-23,other
34,mostly vegan,69,oakland,2012-06-26,other
27,mostly vegetarian,70,palo alto,2012-05-13,other
27,mostly anything,63,san francisco,2012-06-30,other
37,mostly anything,72,oakland,2012-06-27,other
38,mostly anything,72,oakland,2012-06-14,other
31,NA,70,oakland,2012-06-16,other
23,NA,74,el cerrito,2011-07-01,other
29,NA,68,oakland,2012-06-30,other
39,anything,72,oakland,2012-06-30,other
35,NA,69,san francisco,2012-06-17,other
36,NA,69,san francisco,2012-06-30,other
30,NA,62,san carlos,2012-06-24,other
32,anything,67,alameda,2012-06-30,other
32,mostly anything,62,berkeley,2012-06-28,other
37,anything,66,san francisco,2012-04-16,other
48,mostly anything,69,redwood city,2012-06-27,other
27,mostly anything,70,san lorenzo,2012-06-27,stem
50,mostly anything,70,san francisco,2012-06-29,other
52,NA,74,san francisco,2012-06-29,other
33,NA,66,san francisco,2012-06-29,other
41,strictly anything,64,san francisco,2012-06-28,other
30,mostly anything,71,walnut creek,2012-06-28,other
29,NA,72,oakland,2012-06-18,other
24,mostly anything,72,san francisco,2012-06-28,other
40,mostly vegetarian,74,san francisco,2012-06-29,stem
27,strictly anything,76,walnut creek,2012-06-30,other
42,mostly other,68,berkeley,2012-06-30,stem
39,mostly anything,70,san francisco,2012-06-30,other
22,mostly vegan,66,san francisco,2012-06-27,other
41,NA,72,san francisco,2012-06-27,other
30,NA,76,san francisco,2012-06-30,other
29,mostly anything,73,san francisco,2012-06-30,other
48,NA,75,san francisco,2012-06-30,other
50,anything,72,berkeley,2012-06-22,other
33,NA,70,berkeley,2012-06-30,other
29,NA,69,stanford,2011-10-29,stem
31,NA,76,oakland,2012-06-30,other
27,anything,65,san francisco,2012-06-30,other
31,NA,63,san francisco,2012-06-29,other
19,strictly vegetarian,66,hayward,2012-06-30,other
27,NA,70,san francisco,2011-09-22,other
32,NA,66,san francisco,2012-06-13,other
28,strictly anything,68,alameda,2011-09-03,other
21,mostly anything,67,san francisco,2012-06-30,other
25,anything,67,walnut creek,2012-06-01,other
29,anything,74,san francisco,2012-06-30,other
38,NA,76,oakland,2012-06-29,other
44,mostly anything,70,san francisco,2012-06-26,other
47,mostly anything,71,redwood city,2012-06-30,other
38,mostly anything,72,san francisco,2012-05-07,stem
34,NA,67,san francisco,2012-06-09,other
35,mostly anything,74,san francisco,2012-06-18,other
31,vegetarian,68,oakland,2012-06-30,other
43,NA,67,palo alto,2012-06-22,other
23,vegetarian,61,san francisco,2012-06-29,other
22,mostly anything,66,oakland,2012-06-29,other
30,NA,68,san francisco,2012-06-30,other
31,mostly anything,65,oakland,2012-05-22,other
39,strictly anything,72,berkeley,2012-06-30,stem
22,mostly anything,63,berkeley,2012-06-20,other
22,mostly anything,64,san leandro,2012-05-29,other
28,strictly anything,72,san francisco,2012-06-28,other
34,mostly anything,66,san francisco,2012-06-28,other
30,NA,67,oakland,2011-11-06,other
30,NA,71,berkeley,2012-06-28,other
29,NA,69,san francisco,2012-06-26,stem
22,mostly anything,71,san leandro,2012-06-30,other
26,mostly anything,68,san francisco,2012-06-22,other
33,mostly anything,66,san mateo,2012-01-21,stem
25,mostly anything,70,palo alto,2012-06-26,other
25,mostly anything,61,oakland,2012-06-10,stem
26,mostly anything,71,palo alto,2012-06-30,other
37,mostly anything,69,san francisco,2012-06-30,other
32,NA,68,san francisco,2012-06-26,other
23,mostly anything,71,san francisco,2012-06-30,other
37,mostly anything,68,vallejo,2012-05-14,other
39,anything,74,san francisco,2012-06-29,other
43,strictly vegetarian,64,san carlos,2012-06-24,other
36,NA,61,san francisco,2012-06-03,stem
29,mostly anything,70,san francisco,2012-06-29,other
26,NA,63,walnut creek,2012-06-29,stem
20,mostly anything,68,vallejo,2012-03-07,stem
50,NA,69,san francisco,2012-06-29,other
26,mostly anything,66,san francisco,2012-06-27,other
23,NA,65,san francisco,2012-06-29,other
27,mostly anything,71,lafayette,2012-06-27,other
28,anything,63,oakland,2012-06-30,other
29,mostly vegetarian,65,berkeley,2012-06-29,other
28,vegetarian,68,oakland,2012-06-27,other
36,NA,70,los angeles,2012-06-30,other
24,mostly anything,68,half moon bay,2012-06-30,other
42,strictly anything,72,san francisco,2012-06-20,stem
27,NA,77,emeryville,2012-06-24,other
27,NA,75,oakland,2011-12-14,other
35,NA,65,san francisco,2012-03-04,other
40,NA,63,vallejo,2012-06-20,other
42,mostly anything,67,san francisco,2012-06-29,other
41,strictly other,72,san bruno,2012-06-27,stem
24,strictly anything,62,berkeley,2012-06-30,other
43,strictly anything,70,san francisco,2012-06-26,other
23,strictly vegan,67,berkeley,2012-06-24,stem
25,NA,86,pleasant hill,2012-06-30,stem
23,NA,62,san francisco,2012-06-30,other
20,mostly anything,68,alameda,2012-06-17,other
46,NA,74,san francisco,2012-05-03,other
25,NA,67,san mateo,2012-06-29,other
30,anything,70,richmond,2012-06-30,other
25,mostly anything,70,stanford,2012-06-30,other
25,NA,68,san francisco,2012-06-29,stem
25,NA,66,san francisco,2012-06-30,other
26,NA,72,san francisco,2011-07-21,stem
36,mostly anything,73,alameda,2012-06-20,stem
20,mostly vegetarian,71,san francisco,2012-05-13,other
67,NA,66,alameda,2012-05-31,other
28,mostly anything,67,san francisco,2012-06-29,stem
25,anything,69,san francisco,2012-06-19,other
44,anything,72,sausalito,2012-06-30,other
55,mostly anything,63,san mateo,2012-06-24,other
39,mostly anything,72,san francisco,2012-06-30,stem
56,mostly anything,66,san rafael,2012-06-23,other
25,NA,64,south san francisco,2012-03-23,other
23,anything,72,berkeley,2012-06-04,other
24,NA,69,san francisco,2012-06-30,other
25,NA,67,san francisco,2012-06-30,other
18,strictly anything,65,san francisco,2012-06-28,other
32,mostly vegetarian,73,san francisco,2012-06-30,other
26,mostly anything,70,san francisco,2012-06-30,other
22,anything,73,redwood city,2012-06-03,other
44,NA,72,oakland,2012-06-27,stem
26,NA,62,burlingame,2012-06-29,other
20,NA,73,san rafael,2012-06-27,other
33,NA,70,san francisco,2012-06-21,other
38,NA,68,castro valley,2012-04-27,other
23,strictly anything,73,san francisco,2012-03-03,other
43,NA,67,san francisco,2012-06-25,other
32,mostly vegetarian,67,san francisco,2012-06-30,stem
25,strictly vegetarian,71,berkeley,2012-06-27,other
24,strictly anything,74,san francisco,2012-06-30,stem
33,NA,68,san leandro,2012-06-30,other
33,anything,72,san francisco,2012-06-29,other
34,mostly anything,67,san mateo,2012-06-28,stem
33,mostly anything,72,martinez,2012-06-17,stem
38,NA,63,burlingame,2012-06-16,other
22,NA,65,san francisco,2011-08-03,other
32,strictly anything,71,san rafael,2012-04-23,stem
26,NA,72,san francisco,2012-06-28,stem
32,NA,67,san francisco,2012-06-26,other
29,mostly anything,64,san francisco,2012-06-30,other
25,mostly anything,71,novato,2012-06-26,other
38,mostly anything,74,san rafael,2012-06-27,stem
29,NA,66,san francisco,2012-06-30,other
55,NA,64,san francisco,2012-04-01,other
43,NA,71,oakland,2012-06-13,other
39,mostly anything,62,san francisco,2012-04-16,other
40,NA,62,pleasant hill,2012-06-30,other
38,strictly anything,70,half moon bay,2012-06-29,other
29,NA,65,oakland,2012-06-30,other
26,NA,70,palo alto,2012-04-29,other
31,NA,71,san francisco,2012-04-16,other
21,mostly vegetarian,66,san francisco,2012-06-25,stem
31,NA,63,san francisco,2011-12-06,other
33,other,71,san francisco,2012-06-30,stem
58,NA,64,redwood city,2012-06-07,other
27,NA,69,oakland,2012-01-09,stem
36,mostly anything,65,san francisco,2012-06-20,other
24,mostly anything,66,san francisco,2012-06-28,other
26,NA,64,oakland,2012-06-08,other
37,mostly anything,67,san francisco,2012-06-29,stem
35,mostly vegetarian,68,san francisco,2012-06-30,other
33,NA,65,stanford,2012-06-15,stem
26,mostly anything,70,san francisco,2012-06-30,stem
61,NA,73,burlingame,2012-06-30,other
27,mostly vegetarian,67,san rafael,2012-01-03,other
28,mostly anything,72,san francisco,2012-06-26,other
31,mostly vegetarian,70,san francisco,2012-06-30,stem
24,mostly other,70,san pablo,2012-06-25,other
28,anything,72,berkeley,2012-06-28,stem
33,NA,68,daly city,2012-06-29,other
27,mostly anything,71,san francisco,2012-06-30,stem
40,mostly other,64,san bruno,2012-06-30,other
33,NA,65,san francisco,2012-04-02,stem
30,NA,72,san francisco,2012-06-29,other
64,mostly anything,70,san francisco,2012-06-29,stem
28,mostly anything,71,novato,2012-06-22,other
27,anything,68,san francisco,2012-03-31,other
38,NA,65,san francisco,2012-06-25,other
29,NA,70,san francisco,2012-06-04,stem
31,NA,68,oakland,2012-06-18,other
50,anything,73,belmont,2012-06-28,other
24,anything,73,san francisco,2012-06-27,other
23,NA,66,san francisco,2012-06-28,other
27,mostly anything,69,berkeley,2012-06-28,other
42,vegetarian,72,san francisco,2012-06-30,stem
42,mostly anything,62,san francisco,2012-06-30,other
55,mostly anything,67,san francisco,2012-06-27,other
23,NA,73,san francisco,2012-06-30,other
33,mostly anything,73,berkeley,2012-06-29,stem
28,mostly anything,68,san francisco,2012-06-30,other
33,NA,67,berkeley,2012-04-28,stem
24,mostly other,70,san francisco,2012-06-27,stem
23,NA,67,san francisco,2012-05-19,other
56,NA,73,san francisco,2012-06-28,other
19,mostly vegetarian,62,san francisco,2012-02-07,other
26,NA,67,san francisco,2012-06-14,other
56,NA,62,alameda,2012-05-21,other
34,NA,60,oakland,2012-06-29,stem
22,NA,60,san francisco,2012-05-22,other
20,mostly anything,71,fremont,2012-06-25,other
28,strictly anything,72,san francisco,2012-06-30,other
26,anything,68,san francisco,2012-03-29,other
46,mostly anything,71,san francisco,2012-06-30,other
25,strictly anything,74,san francisco,2012-06-30,other
35,NA,64,san francisco,2012-06-30,other
25,mostly anything,63,oakland,2012-06-30,other
58,mostly anything,72,san francisco,2012-06-30,other
58,mostly anything,73,oakland,2012-06-30,other
27,mostly anything,72,redwood city,2012-06-30,other
25,strictly anything,67,stanford,2012-06-30,other
62,mostly anything,64,larkspur,2012-06-25,other
23,NA,65,san francisco,2012-06-29,other
29,NA,67,san francisco,2012-06-29,other
31,NA,72,san francisco,2012-06-03,stem
37,mostly vegetarian,67,oakland,2012-06-30,other
30,anything,69,san mateo,2012-06-28,other
33,NA,76,san mateo,2012-03-25,other
56,mostly other,65,burlingame,2012-06-29,other
28,NA,70,south san francisco,2011-09-01,other
29,NA,74,san francisco,2012-03-07,other
24,mostly anything,69,san francisco,2012-06-30,stem
33,mostly anything,72,san francisco,2012-06-30,stem
23,strictly other,61,san francisco,2011-08-06,other
28,NA,65,san francisco,2012-06-28,other
31,mostly anything,66,san francisco,2012-06-30,stem
30,mostly anything,64,berkeley,2012-06-30,other
45,anything,60,san francisco,2012-06-29,other
32,NA,70,san francisco,2012-04-11,other
37,anything,67,san francisco,2012-06-18,other
41,NA,68,oakland,2012-06-30,other
30,mostly anything,69,san francisco,2012-06-25,other
25,mostly anything,66,san francisco,2012-06-25,stem
30,NA,71,san francisco,2011-09-16,other
25,anything,73,san francisco,2012-06-30,other
30,anything,60,oakland,2012-06-27,other
29,mostly anything,69,daly city,2012-06-30,other
33,NA,71,san francisco,2012-06-29,stem
27,NA,70,san francisco,2012-06-21,stem
29,mostly anything,66,san francisco,2012-06-30,other
38,mostly anything,68,san rafael,2012-06-29,other
28,mostly anything,63,vallejo,2012-06-28,other
26,mostly vegetarian,74,oakland,2012-06-30,other
39,NA,68,san francisco,2012-06-30,other
33,mostly anything,65,san francisco,2012-06-29,other
38,mostly anything,70,san francisco,2012-05-19,other
62,NA,63,san mateo,2012-06-10,other
42,NA,67,san francisco,2012-04-18,other
44,NA,71,san francisco,2012-06-25,other
46,NA,69,san francisco,2012-04-30,stem
36,strictly anything,67,san francisco,2011-09-26,stem
28,NA,72,san francisco,2012-06-30,other
35,NA,69,san francisco,2012-06-29,other
33,strictly anything,70,san francisco,2012-06-25,stem
33,NA,70,san francisco,2011-11-12,other
26,mostly anything,68,san francisco,2012-06-30,other
59,mostly anything,72,pacifica,2012-06-28,other
26,strictly anything,67,san francisco,2012-06-30,stem
32,mostly anything,67,san mateo,2012-06-06,stem
55,NA,72,san bruno,2012-05-14,other
53,anything,61,menlo park,2012-06-28,other
36,mostly anything,70,san francisco,2012-06-30,stem
26,NA,65,san francisco,2012-06-30,other
22,mostly anything,71,san francisco,2012-06-08,other
28,NA,75,san francisco,2012-06-30,other
28,strictly anything,70,san francisco,2012-06-29,other
22,NA,64,san francisco,2011-11-08,other
39,NA,69,oakland,2012-05-09,other
45,mostly vegetarian,61,san francisco,2012-06-21,other
36,mostly anything,77,san francisco,2012-06-30,stem
27,mostly anything,70,san francisco,2012-06-30,other
23,NA,72,san francisco,2012-06-29,other
22,mostly anything,74,san rafael,2012-06-30,other
25,mostly anything,71,oakland,2012-06-30,other
26,mostly anything,60,san francisco,2012-06-24,other
36,NA,75,san rafael,2012-06-07,other
35,NA,74,san rafael,2012-06-15,stem
25,anything,69,san francisco,2012-06-30,other
25,vegetarian,68,san francisco,2012-06-27,other
25,NA,65,san francisco,2012-06-29,other
24,mostly anything,70,castro valley,2012-06-19,other
26,NA,71,san francisco,2012-05-10,stem
50,NA,72,san francisco,2012-02-27,stem
26,vegan,77,san francisco,2012-06-30,other
29,mostly anything,70,san francisco,2012-06-29,other
30,strictly anything,74,san francisco,2012-06-30,other
25,mostly anything,66,emeryville,2012-02-15,stem
43,mostly anything,64,redwood city,2012-06-30,stem
23,anything,69,san francisco,2012-06-30,other
26,NA,64,berkeley,2012-02-11,other
37,mostly anything,66,san francisco,2012-06-29,stem
38,mostly anything,70,san francisco,2012-06-27,stem
27,strictly anything,71,san francisco,2012-06-27,stem
27,mostly anything,69,alameda,2012-04-03,other
23,NA,72,san francisco,2011-10-07,other
25,vegetarian,63,san francisco,2012-06-17,other
22,NA,69,san francisco,2012-06-29,other
32,anything,67,san francisco,2012-06-30,other
47,NA,75,san francisco,2012-05-12,other
22,strictly anything,70,oakland,2012-06-28,other
41,mostly anything,66,south san francisco,2012-06-21,other
34,mostly anything,72,oakland,2012-06-30,stem
34,NA,73,san francisco,2012-06-22,other
22,strictly anything,74,san francisco,2012-05-18,other
22,mostly anything,73,san rafael,2012-06-04,other
26,mostly anything,74,san francisco,2012-06-24,stem
31,mostly anything,73,san rafael,2012-06-29,other
43,NA,69,mill valley,2012-06-28,other
30,strictly anything,66,daly city,2012-04-25,other
32,anything,65,san francisco,2012-06-11,other
18,mostly anything,63,hayward,2012-06-30,other
26,NA,72,san francisco,2012-06-22,stem
32,strictly anything,73,oakland,2012-06-30,stem
25,mostly anything,70,san francisco,2012-06-30,other
39,NA,66,san francisco,2012-06-27,other
38,NA,72,san francisco,2012-05-18,other
18,NA,68,oakland,2012-06-26,other
25,anything,70,castro valley,2011-12-09,other
23,NA,63,san francisco,2012-06-28,other
30,anything,69,berkeley,2012-06-29,stem
25,NA,67,berkeley,2012-02-27,other
25,NA,71,point richmond,2012-03-22,other
26,anything,72,san francisco,2011-12-22,other
28,mostly anything,74,san francisco,2012-05-06,other
36,mostly anything,64,alameda,2012-04-11,other
22,mostly anything,74,san francisco,2012-02-19,other
23,mostly vegetarian,70,stanford,2012-06-30,other
32,anything,67,san anselmo,2012-06-29,other
31,NA,71,oakland,2012-06-30,other
49,NA,73,oakland,2012-06-30,other
23,strictly anything,70,san francisco,2012-06-29,other
28,strictly anything,67,berkeley,2012-06-30,stem
28,NA,70,san francisco,2012-06-30,stem
29,NA,74,oakland,2012-06-22,other
31,NA,72,san carlos,2012-05-29,other
35,mostly vegetarian,66,oakland,2012-06-18,other
23,strictly anything,69,san francisco,2012-06-30,other
33,NA,70,berkeley,2012-06-20,other
61,NA,70,san francisco,2012-06-23,other
40,NA,74,mill valley,2012-06-29,other
30,NA,68,san francisco,2012-02-09,other
24,mostly anything,72,berkeley,2012-03-11,other
23,mostly vegetarian,73,menlo park,2012-03-13,other
29,NA,73,san francisco,2012-06-25,other
39,mostly anything,71,san francisco,2012-06-29,stem
26,mostly anything,67,san francisco,2012-06-29,other
43,anything,73,berkeley,2012-06-24,stem
28,mostly anything,74,san francisco,2012-05-21,other
34,mostly anything,70,san francisco,2012-06-30,other
31,NA,63,oakland,2012-06-29,other
30,NA,62,walnut creek,2012-04-18,other
32,mostly anything,67,oakland,2012-06-30,other
24,anything,69,emeryville,2012-06-29,other
33,mostly anything,64,san francisco,2012-06-29,other
27,NA,70,alameda,2012-06-29,other
30,NA,67,san francisco,2012-06-28,stem
27,anything,63,san francisco,2012-06-27,other
28,mostly anything,69,san leandro,2012-06-30,stem
56,NA,72,berkeley,2012-06-29,other
26,NA,67,san francisco,2012-06-29,other
36,strictly anything,71,san lorenzo,2012-06-27,other
23,mostly anything,66,berkeley,2011-09-21,other
22,NA,67,hayward,2011-10-21,other
23,mostly anything,72,mountain view,2012-05-06,other
35,NA,70,san francisco,2012-06-17,other
36,strictly anything,63,san francisco,2012-06-29,other
27,mostly anything,66,san francisco,2012-06-30,other
41,NA,62,berkeley,2012-06-29,other
33,NA,70,san francisco,2012-06-30,other
24,NA,71,san francisco,2012-06-28,other
37,NA,73,albany,2012-02-23,other
27,strictly kosher,69,vallejo,2011-07-27,other
28,NA,75,stanford,2012-06-30,other
33,NA,65,rodeo,2012-01-16,other
44,mostly anything,74,san bruno,2012-06-29,other
31,strictly anything,79,san francisco,2012-06-29,other
30,strictly anything,74,san francisco,2012-06-15,stem
60,mostly anything,72,oakland,2012-06-30,other
29,anything,63,oakland,2012-06-15,other
44,mostly anything,74,oakland,2012-06-30,other
40,NA,65,san francisco,2012-06-20,other
27,NA,68,san francisco,2012-05-21,other
25,NA,69,san francisco,2012-06-30,other
25,anything,68,san francisco,2012-04-20,other
31,mostly anything,64,palo alto,2012-04-15,other
22,anything,63,san francisco,2012-04-17,other
32,NA,70,san francisco,2012-06-29,other
34,strictly vegetarian,63,san francisco,2012-06-29,other
25,NA,73,san francisco,2012-06-28,other
